time,lat(N),lon(E),alt
163824,4223.3606,-7104.8535,11.8
163825,4223.3695,-7104.8654,11.6
163826,4223.3783,-7104.8772,11.6
163827,4223.3868,-7104.8888,11.9
163828,4223.3952,-7104.9002,12.2
163829,4223.4034,-7104.9113,12.4
163830,4223.4115,-7104.922,12.6
163831,4223.4197,-7104.9323,12.6
163832,4223.4279,-7104.9422,12.8
163833,4223.4361,-7104.9516,13
163834,4223.4444,-7104.9607,13.2
163835,4223.4526,-7104.9694,13.4
163836,4223.4608,-7104.9778,13.5
163837,4223.4689,-7104.9856,13.8
163838,4223.477,-7104.9926,14
163839,4223.485,-7104.9986,14
163840,4223.4932,-7105.0035,14
163841,4223.5016,-7105.0078,14.2
163842,4223.5101,-7105.0117,14.4
163843,4223.5186,-7105.0152,14.5
163844,4223.5269,-7105.0186,14.5
163845,4223.5351,-7105.022,14.4
163846,4223.5428,-7105.0258,14
163847,4223.5503,-7105.03,13.6
163848,4223.5575,-7105.0348,13
163849,4223.5646,-7105.0402,12.2
163850,4223.5717,-7105.046,11.3
163851,4223.579,-7105.0521,10.5
163852,4223.5864,-7105.0586,9.7
163853,4223.5939,-7105.0656,9.1
163854,4223.6013,-7105.0731,8.7
163855,4223.6085,-7105.0809,8.5
163856,4223.6153,-7105.0886,8.5
163857,4223.6216,-7105.0959,8.3
163858,4223.6278,-7105.1026,8.2
163859,4223.6341,-7105.1086,8.1
163900,4223.6404,-7105.1135,8.2
163901,4223.647,-7105.1172,8.2
163902,4223.6535,-7105.1198,8.5
163903,4223.66,-7105.1212,8.9
163904,4223.6663,-7105.1212,9.1
163905,4223.6725,-7105.12,9.1
163906,4223.6786,-7105.1181,9
163907,4223.6849,-7105.1159,8.9
163908,4223.6912,-7105.1135,8.8
163909,4223.6976,-7105.1112,8.7
163910,4223.7041,-7105.1088,8.7
163911,4223.7103,-7105.1064,8.7
163912,4223.716,-7105.1044,8.7
163913,4223.7206,-7105.1027,8.7
163914,4223.7239,-7105.1015,8.8
163915,4223.726,-7105.1007,8.9
163916,4223.7271,-7105.1003,8.8
163917,4223.7275,-7105.1001,8.6
163918,4223.7276,-7105.1,8.6
163919,4223.7276,-7105.0999,8.6
163920,4223.7281,-7105.0997,8.5
163921,4223.729,-7105.0993,8.6
163922,4223.73,-7105.0989,8.6
163923,4223.7309,-7105.0984,8.7
163924,4223.7318,-7105.098,8.7
163925,4223.7329,-7105.0975,8.8
163926,4223.7346,-7105.0968,8.8
163927,4223.7372,-7105.0959,8.9
163928,4223.7405,-7105.0949,8.9
163929,4223.7442,-7105.0937,9
163930,4223.7484,-7105.0924,9.2
163931,4223.7528,-7105.091,9.4
163932,4223.7575,-7105.0895,9.4
163933,4223.7622,-7105.0878,9.4
163934,4223.7668,-7105.0861,9.4
163935,4223.7713,-7105.0845,9.3
163936,4223.7756,-7105.0828,9.3
163937,4223.7799,-7105.0811,9.2
163938,4223.7841,-7105.0794,9.1
163939,4223.7885,-7105.0776,9.1
163940,4223.7929,-7105.076,9.1
163941,4223.7975,-7105.0744,9
163942,4223.8021,-7105.0728,8.9
163943,4223.8067,-7105.0712,8.9
163944,4223.8114,-7105.0696,8.8
163945,4223.8162,-7105.0677,8.7
163946,4223.8211,-7105.0657,8.7
163947,4223.8262,-7105.0634,8.7
163948,4223.8313,-7105.0609,8.6
163949,4223.836,-7105.0584,8.6
163950,4223.84,-7105.0556,8.6
163951,4223.8433,-7105.0521,8.5
163952,4223.8459,-7105.0476,8.5
163953,4223.8474,-7105.0424,8.4
163954,4223.8477,-7105.0365,8.4
163955,4223.847,-7105.0304,8.4
163956,4223.8456,-7105.0239,8.5
163957,4223.8437,-7105.0169,8.5
163958,4223.8414,-7105.0093,8.5
163959,4223.8389,-7105.0011,8.6
164000,4223.8361,-7104.9923,8.5
164001,4223.8328,-7104.9831,8.4
164002,4223.829,-7104.9736,8.5
164003,4223.8249,-7104.9638,8.6
164004,4223.8206,-7104.9544,8.7
164005,4223.8165,-7104.9455,8.8
164006,4223.8125,-7104.9369,9
164007,4223.8086,-7104.9287,9.2
164008,4223.8047,-7104.9207,9.4
164009,4223.8009,-7104.9134,9.6
164010,4223.7973,-7104.9071,9.6
164011,4223.7938,-7104.9018,9.5
164012,4223.7905,-7104.8978,9.4
164013,4223.787,-7104.8949,9.4
164014,4223.7833,-7104.8931,9.4
164015,4223.7793,-7104.8923,9.4
164016,4223.7751,-7104.892,9.4
164017,4223.7708,-7104.8915,9.5
164018,4223.7665,-7104.8902,9.6
164019,4223.7622,-7104.8883,9.6
164020,4223.7579,-7104.8861,9.6
164021,4223.7536,-7104.884,9.7
164022,4223.7494,-7104.8822,9.8
164023,4223.7452,-7104.8806,9.8
164024,4223.741,-7104.8791,9.8
164025,4223.737,-7104.8778,9.8
164026,4223.733,-7104.8767,9.8
